epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,2481.35,0.46491,0.3498,0.96816,0.93982,0.87037,0.90407,0.79603,0.5904,0.5147,1.00781,0.000358047,0.000358047,0.000358047
168,2496.05,0.4617,0.35022,0.97138,0.94448,0.86522,0.9145,0.79986,0.57121,0.50957,0.98565,0.00035418,0.00035418,0.00035418
169,2510.47,0.45459,0.3401,0.96495,0.94692,0.86919,0.92732,0.80185,0.615,0.46785,1.02745,0.000350313,0.000350313,0.000350313
170,2525.05,0.45753,0.34464,0.96348,0.92827,0.87994,0.92989,0.79996,0.61796,0.43173,1.03384,0.000346445,0.000346445,0.000346445
171,2540.12,0.46778,0.35351,0.97935,0.95292,0.85073,0.92643,0.80355,0.63466,0.45371,1.05147,0.000342578,0.000342578,0.000342578
172,2555.05,0.45374,0.33689,0.96318,0.95412,0.84817,0.91869,0.79892,0.59789,0.51537,1.01529,0.000338711,0.000338711,0.000338711
173,2569.6,0.45758,0.34113,0.96414,0.93225,0.89641,0.93172,0.80986,0.6039,0.47084,1.02285,0.000334844,0.000334844,0.000334844
174,2584.2,0.47036,0.35482,0.9735,0.93357,0.87732,0.93875,0.81757,0.56581,0.43467,0.99437,0.000330977,0.000330977,0.000330977
175,2598.93,0.44799,0.334,0.96236,0.89667,0.88634,0.93273,0.81923,0.56889,0.44687,0.99589,0.000327109,0.000327109,0.000327109
176,2613.65,0.45715,0.33295,0.9687,0.93959,0.86472,0.91877,0.81235,0.59988,0.47993,1.03003,0.000323242,0.000323242,0.000323242
177,2628.05,0.46099,0.33248,0.96523,0.92778,0.86636,0.92207,0.81053,0.62445,0.48345,1.05192,0.000319375,0.000319375,0.000319375
178,2643.44,0.45767,0.33351,0.96708,0.92805,0.87407,0.92452,0.81223,0.59215,0.4709,1.03079,0.000315508,0.000315508,0.000315508
